state,population,medianage,TimeFrame
Alabama,1.974971994,25.5,2006-2010
Alaska,0.079181246,24.8,2006-2010
Arizona,1.750508395,25.6,2006-2010
Arkansas,1.748188027,24.5,2006-2010
California,2.378579576,26.9,2006-2010
Colorado,1.685741739,25.7,2006-2010
Connecticut,2.868115205,27.6,2006-2010
Delaware,2.66351247,26.4,2006-2010
District of Columbia,3.993722726,29.6,2006-2010
Florida,2.544811912,26.6,2006-2010
Georgia,2.226342087,25.9,2006-2010
Hawaii,2.325925956,27,2006-2010
Idaho,1.278753601,23.3,2006-2010
Illinois,2.363799945,27.1,2006-2010
Indiana,2.257678575,25.9,2006-2010
Iowa,1.736396502,25.5,2006-2010
Kansas,1.542825427,25.1,2006-2010
Kentucky,2.040997692,25,2006-2010
Louisiana,2.020775488,26.2,2006-2010
Maine,1.63447727,26.5,2006-2010
Maryland,2.77437096,27.4,2006-2010
Massachusetts,2.923968965,28.5,2006-2010
Michigan,2.242541428,26.6,2006-2010
Minnesota,1.823474229,26.3,2006-2010
Mississippi,1.800717078,25.9,2006-2010
Missouri,1.940018155,25.8,2006-2010
Montana,0.832508913,25.4,2006-2010
Nebraska,1.376576957,25.5,2006-2010
Nevada,1.390935107,25.7,2006-2010
New Hampshire,2.167317335,26.8,2006-2010
New Jersey,3.07754958,27.8,2006-2010
New Mexico,1.230448921,25.9,2006-2010
New York,2.614053106,28.3,2006-2010
North Carolina,2.292477594,25.9,2006-2010
North Dakota,0.986771734,25.7,2006-2010
Ohio,2.450710878,26.3,2006-2010
Oklahoma,1.737987326,24.5,2006-2010
Oregon,1.600972896,26.1,2006-2010
Pennsylvania,2.453165393,27.2,2006-2010
Rhode Island,3.007790437,27.9,2006-2010
South Carolina,2.18723862,26.4,2006-2010
South Dakota,1.029383778,25.5,2006-2010
Tennessee,2.18723862,25.4,2006-2010
Texas,1.983626287,25.3,2006-2010
Utah,1.526339277,23,2006-2010
Vermont,1.831869774,27,2006-2010
Virginia,2.306639441,26.5,2006-2010
Washington,2.005180513,25.8,2006-2010
West Virginia,1.887054378,25.4,2006-2010
Wisconsin,2.021189299,26.4,2006-2010
Wyoming,0.763427994,24.2,2006-2010
